Sample	Nb_read	Total_read	relative_abundance	Sample_bis
I01S03C010OA000S023	351119	99499383	0.352885605330839	I01S03C010OA000S
I01S03C010OA000S320	213235	173165943	0.123139109403285	I01S03C010OA000S
I02S01C000OA000S023	457453	161161679	0.283847253787918	I02S01C000OA000S
I02S01C000OA000S320	96424	130115190	0.0741066435056506	I02S01C000OA000S
I02S01C029OA000S023	271403	164319455	0.165167904190043	I02S01C029OA000S
I02S01C029OA000S320	184348	257510475	0.0715885441165063	I02S01C029OA000S
I02S01C030OA000S023	431506	176658948	0.244259351074591	I02S01C030OA000S
I02S01C030OA000S320	72187	107245089	0.0673103082603624	I02S01C030OA000S
I02S02C000OA000S023	490335	182616070	0.268505942549306	I02S02C000OA000S
I02S02C000OA000S320	119302	150365122	0.0793415377270801	I02S02C000OA000S
I02S02C029OA000S023	216415	97388964	0.222217170315109	I02S02C029OA000S
I02S02C029OA000S320	77817	93664345	0.0830807069648541	I02S02C029OA000S
I02S02C030OA000S023	230414	108730794	0.211912367714339	I02S02C030OA000S
I02S02C030OA000S320	99510	100995563	0.0985290809260601	I02S02C030OA000S
I02S03C000OA000S023	513106	194463076	0.263857803010377	I02S03C000OA000S
I02S03C000OA000S320	58495	134809751	0.0433907781641107	I02S03C000OA000S
I02S03C001OA000S023	402543	91413586	0.440353581578126	I02S03C001OA000S
I02S03C001OA000S320	300708	322815648	0.0931516182263878	I02S03C001OA000S
I02S03C010OA000S023	847567	191398732	0.442827907553745	I02S03C010OA000S
I02S03C010OA000S320	245190	320741736	0.0764446819605666	I02S03C010OA000S
I04S00C000OA041S023	170693	130859914	0.130439486610086	I04S00C000OA041S
I04S00C000OA041S320	65054	164298310	0.0395950512211599	I04S00C000OA041S
I04S00C000OA042S023	356333	133008222	0.267902987230368	I04S00C000OA042S
I04S00C000OA042S320	131189	194707177	0.067377588243704	I04S00C000OA042S
I04S00C000OA043S023	364848	150082074	0.243098985958843	I04S00C000OA043S
I04S00C000OA043S320	53260	146167139	0.0364377385808995	I04S00C000OA043S
I04S00C000OA044S023	865540	166331573	0.520370236623687	I04S00C000OA044S
I04S00C000OA044S320	38018	132933739	0.028599210618758	I04S00C000OA044S
I04S01C000OA000S023	478038	132270577	0.361409174165771	I04S01C000OA000S
I04S01C000OA000S320	76320	118288779	0.06452006745289	I04S01C000OA000S
I04S01C001OA000S023	351514	136112630	0.2582523017886	I04S01C001OA000S
I04S01C001OA000S320	71162	145432172	0.0489314015058511	I04S01C001OA000S
I04S01C010OA000S023	472132	145514767	0.324456417540084	I04S01C010OA000S
I04S01C010OA000S320	83568	158916754	0.0525860224907438	I04S01C010OA000S
I04S02C000OA000S023	499444	156113789	0.319923053049465	I04S02C000OA000S
I04S02C001OA000S023	261143	126030426	0.207206313815047	I04S02C001OA000S
I04S02C001OA000S320	37833	90738480	0.041694548993988	I04S02C001OA000S
I04S02C010OA000S320	80860	118965013	0.0679695634547613	I04S02C010OA000S
I04S04C000OA000S023	487828	136126446	0.358363870015383	I04S04C000OA000S
I04S04C000OA000S320	134646	129907946	0.103647239561466	I04S04C000OA000S
I04S04C001OA000S320	102285	214241728	0.0477428001327547	I04S04C001OA000S
I04S04C010OA000S023	492873	128146026	0.384618247935367	I04S04C010OA000S
I04S04C010OA000S320	109835	147134958	0.0746491530585138	I04S04C010OA000S
I05S01C000OA000S023	39726	111422499	0.0356534814391481	I05S01C000OA000S
I05S01C001OA000S023	40938	124413834	0.0329047009354281	I05S01C001OA000S
I05S01C010OA000S023	48850	122379702	0.0399167502467035	I05S01C010OA000S
I06S00C000OA053S023	98682	109642021	0.0900038134101888	I06S00C000OA053S
I06S00C000OA053S320	26408	115801282	0.0228045834587565	I06S00C000OA053S
I06S00C000OA054S023	146256	120838292	0.121034481354636	I06S00C000OA054S
I06S00C000OA054S320	29414	105526699	0.0278735147396205	I06S00C000OA054S
I06S00C000OA055S023	40242	101512416	0.039642441373871	I06S00C000OA055S
I06S00C000OA055S320	22664	107467648	0.0210891374490675	I06S00C000OA055S
I06S01C000OA000S023	191869	105152186	0.18246791369606	I06S01C000OA000S
I06S01C000OA000S320	27474	101778325	0.0269939596667562	I06S01C000OA000S
I06S01C001OA000S023	167108	107690525	0.155174282974291	I06S01C001OA000S
I06S01C001OA000S320	27871	116515177	0.0239204889162208	I06S01C001OA000S
I06S01C010OA000S023	188035	109383279	0.171904702180303	I06S01C010OA000S
I06S01C010OA000S320	30322	120413885	0.0251814813549119	I06S01C010OA000S
I06S02C000OA000S023	83011	114117439	0.0727417305605675	I06S02C000OA000S
I06S02C000OA000S320	25297	100517659	0.0251667221975394	I06S02C000OA000S
I06S02C001OA000S023	88886	102603163	0.0866308575691765	I06S02C001OA000S
I06S02C001OA000S320	37390	121008147	0.0308987460158364	I06S02C001OA000S
I06S02C010OA000S023	81549	154564024	0.0527606605273165	I06S02C010OA000S
I06S02C010OA000S320	21834	94341889	0.0231434840148261	I06S02C010OA000S
I06S03C000OA000S023	113578	145114782	0.078267698462311	I06S03C000OA000S
I06S03C000OA000S320	61886	115601865	0.0535337384046529	I06S03C000OA000S
I06S03C001OA000S023	133085	115570441	0.115154877707873	I06S03C001OA000S
I06S03C001OA000S320	37841	112590708	0.0336093454532678	I06S03C001OA000S
I06S03C010OA000S023	119060	113339873	0.105046879662553	I06S03C010OA000S
I06S03C010OA000S320	57662	134429812	0.0428937593098769	I06S03C010OA000S
